"","RK","TEAM","GMS","TOTAL","AVG","PCT"
"1","1","Bulls","41","851,824","20,776","99.3"
"2","2","Cavaliers","41","843,042","20,562","100.0"
"3","3","76ers","41","833,503","20,329","100.0"
"4","4","Raptors","41","813,431","19,839","100.2"
"5","5","Mavericks","41","811,453","19,791","103.1"
"6","6","Heat","41","785,250","19,631","100.2"
"7","7","Warriors","41","803,436","19,596","100.0"
"8","8","Trail Blazers","41","795,328","19,398","99.8"
"9","9","NY Knicks","41","792,608","19,331","97.6"
"10","10","Lakers","41","776,327","18,934","99.3"
"11","11","Celtics","41","744,960","18,624","100.0"
"12","12","Spurs","41","754,562","18,403","99.0"
"13","13","Thunder","41","746,323","18,203","100.0"
"14","14","Wizards","41","718,946","17,973","88.6"
"15","15","Jazz","41","734,806","17,922","90.0"
"16","16","Rockets","41","716,008","17,900","99.2"
"17","17","Magic","41","715,728","17,893","94.9"
"18","18","Kings","41","649,571","17,555","100.3"
"19","19","Pistons","41","713,945","17,413","82.9"
"20","20","Nuggets","41","702,796","17,141","89.5"
"21","21","Timberwolves","41","699,308","17,056","89.9"
"22","22","Clippers","41","697,812","17,019","89.3"
"23","23","Suns","41","674,655","16,866","91.6"
"24","24","Bucks","41","685,303","16,714","89.3"
"25","25","Pelicans","41","673,920","16,437","95.6"
"26","26","Hornets","41","671,404","16,375","85.8"
"27","27","Pacers","41","658,119","16,051","88.4"
"28","28","Grizzlies","41","653,863","15,947","88.0"
"29","29","Nets","41","622,278","15,556","87.7"
"30","30","Hawks","41","590,769","14,409","76.9"
